RandR_ID,"Article_title, link to abstract, related articles pubmed, etc.",Sentence (search term in bold),Graphic user interface,Lead author and journal,Publication date ASC
a1883134,Repurposing Therapeutics for COVID-19: Rapid Prediction of Commercially available drugs through Machine Learning and Docking,"Initially , we have trained our model with the inhibitors of the SARS Coronavirus 3C - like Protease .",a1883134,,2020.04.07
a1350061,Antiviral Drugs Against Severe Fever With Thrombocytopenia Syndrome Virus Infection,"It was reported that hexachlorophene inhibited the viral replication of severe acute respiratory syndrome - related coronavirus in vitro by inhibiting 3C - like protease , which is essential for its l",a1350061,"Takayama-Ito, Mutsuyo; Sa....(Front Microbiol)",2020.02.11
a1877525,Alpha-ketoamides as broad-spectrum inhibitors of coronavirus and enterovirus replication,"Occasionally , individual a - ketoamides have been reported in the literature as inhibitors of both the enterovirus 3C protease and the coronavirus main protease .",a1877525,,2020.02.10
a1623275,Efficacy of a 3C-like protease inhibitor in treating various forms of acquired feline infectious peritonitis,"evaluated them for their efficacy against feline coronavirus ( FCoV ) and feline calicivirus , as well as important human RNA viruses that encode 3CLpro or related 3C protease .",a1623275,"Pedersen, Niels C; Kim, Y....(J Feline Med Surg)",2017.09.13
a6330069,Inhibitory Effects and Surface Plasmon Resonance-Based Binding Affinities of Dietary Hydrolyzable Tannins and Their Gut Microbial Metabolites on SARS-CoV-2 Main Protease,A lyophilized recombinant Mpro protein from coronavirus (purchased from Sigma Aldrich; catalog #SAE0172; 1 mg/mL) was diluted to a final concentration of 40 Î¼g/mL in sodium acetate buffer (10 mM; pH,a6330069,"Li, Huifang; Xu, Feng; Li....(J Agric Food Chem)",2021.09.29
a2213912,Molecular Dynamics Simulations Indicate the SARS-CoV-2 Mpro Is Not a Viable Target for Small-Molecule Inhibitors Design,These results indicate that the future evolution of the Mpro protein can significantly reduce the potential use of this protein as a molecular target for coronavirus treatment due to a highly probable,a2213912,,2020.03.02
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
a2572042,Characterizing Eckol as a Therapeutic Aid: A Systematic Review,"Given the importance of severe acute respiratory syndrome coronavirus 3C - like proteinase ( SARS - CoV 3CL pro ) in viral replication , a biological assessment was completed on the phlorotannins isol",a2572042,"Manandhar, Bandana; Paude....(Mar Drugs)",2019.06.18
0,0,0,0,0,0
a1623275,Efficacy of a 3C-like protease inhibitor in treating various forms of acquired feline infectious peritonitis,"evaluated them for their efficacy against feline coronavirus ( FCoV ) and feline calicivirus , as well as important human RNA viruses that encode 3CLpro or related 3C protease .",a1623275,"Pedersen, Niels C; Kim, Y....(J Feline Med Surg)",2017.09.13
a6330069,Inhibitory Effects and Surface Plasmon Resonance-Based Binding Affinities of Dietary Hydrolyzable Tannins and Their Gut Microbial Metabolites on SARS-CoV-2 Main Protease,A lyophilized recombinant Mpro protein from coronavirus (purchased from Sigma Aldrich; catalog #SAE0172; 1 mg/mL) was diluted to a final concentration of 40 Î¼g/mL in sodium acetate buffer (10 mM; pH,a6330069,"Li, Huifang; Xu, Feng; Li....(J Agric Food Chem)",2021.09.29
a2213912,Molecular Dynamics Simulations Indicate the SARS-CoV-2 Mpro Is Not a Viable Target for Small-Molecule Inhibitors Design,These results indicate that the future evolution of the Mpro protein can significantly reduce the potential use of this protein as a molecular target for coronavirus treatment due to a highly probable,a2213912,,2020.03.02
a9747815,The Molecular Biology of Coronaviruses,"The coronavirus main proteinase, designated M pro , constitutes all of nsp5.",a9747815,"Masters, Paul S.....(Adv Virus Res)",2006.07.28
a4789169,Sometimes Intermediates Do the Job!,"However, the main proteinase of SARS coronavirus (M pro , also called 3CL pro ) has a good chance to catch up.",a4789169,"Hilgenfeld, Rolf; Pumpor,....(Chem Biol)",2006.04.07
