RandR_ID,"Article_title, link to abstract, related articles pubmed, etc.",Sentence (search term in bold),Graphic user interface,Lead author and journal,Publication date ASC
a9847331,A Survey of Current Resources to Study lncRNA-Protein Interactions,Most machine learning methods do not involve molecular docking simulations.,a9847331,"Philip, Melcy; Chen, Tyro....(Noncoding RNA)",2021.06.08
a9788922,"Possibility of HIV-1 protease inhibitors-clinical trial drugs as repurposed drugs for SARS-CoV-2 main protease: a molecular docking, molecular dynamics and binding free energy simulation study","The glide energy of TMB607-SARS-CoV-2 M pro and TMC310911-SARS-CoV-2 M pro complexes obtained from the molecular docking simulation is Ã€10.3 and Ã€7.1 kcal/mol, respectively.",a9788922,"Ancy, Iruthayaraj; Sivana....(Journal of biomolecular structure & dynamics)",2020.07.06
a1799970,Immuno-informatics Characterization SARS-CoV-2 Spike Glycoprotein for Prioritization of Epitope based Multivalent Peptide Vaccine,Molecular docking simulation studies demonstrated 64 residues from the TLR3 receptor that are in direct contact with the MEPVC but per residue decomposition,a1799970,,2020.04.12
a1800130,ACE2 fragment as a decoy for novel SARS-Cov-2 virus,"By performing comparative structural analyses , molecular docking , and molecular dynamics simulations we identified the key residues that are involved in the binding between the viral S - protein and",a1800130,,2020.04.10
a1155758,Lectin-like Intestinal Defensin Inhibits 2019-nCoV Spike binding to ACE2,"For deeper insights into the ACE2 blocking of HD5 , we carried out a molecular dynamic simulation , in which HD5 was docked onto the LBD of ACE2 .",a1155758,,2020.03.31
a1927266,The Essential Facts of Wuhan Novel Coronavirus Outbreak in China and Epitope-based Vaccine Designing against COVID-19,The results of molecular dynamics simulation of CV-1-TLR-8 docked complex is illustrated in Figure 10 .,a1927266,,2020.02.11
a1733797,Characterizing Eckol as a Therapeutic Aid: A Systematic Review,"In a similar study of tyrosinase inhibition , eckol derived from E. cava was evaluated on melanogenesis and its binding capacity using a molecular docking simulation .",a1733797,"Manandhar, Bandana; Paude....(Mar Drugs)",2019.06.18
a178671,Mechanistic insights into Zika virus NS3 helicase inhibition by Epigallocatechin-3-gallate: Supplementary Files,"Therefore , in this article , we have used molecular docking and simulation approach to find out a significant binding cavity for EGCG .",a178671,,2019.01.26
a1209598,Structural basis of development of multi-epitope vaccine against Middle East respiratory syndrome using in silico approach,These include CTL epitopes : 47 Molecular interaction analysis of the selected epitopes with hla allele Molecular docking and MD simulation study of the selected epitopes with hla alleles Molecular do,a1209598,"Srivastava, Sukrit; Kamth....(Infect Drug Resist)",2018.11.21
a1269065,Exploring the Binding Mechanism between Human Profilin (PFN1) and Polyproline-10 through Binding Mode Screening,"The second is to examine MD simulations , steered molecular dynamics ( SMD ) simulations , and free energy calculations in comparison with the protein docking score ( from GRAMM - X ) in order to impr",a1269065,,2018.09.16
a3974386,Redox process is crucial for inhibitory properties of aurintricarboxylic acid against activity of YopH: virulence factor of Yersinia pestis,Top scoring poses from docking that interacted with Cys403 were retained for molecular dynamics simulations using amber12 .,a3974386,"Kuban-Jankowska, Alicja; ....(Oncotarget)",2015.07.22
a9847331,A Survey of Current Resources to Study lncRNA-Protein Interactions,Most machine learning methods do not involve molecular docking simulations.,a9847331,"Philip, Melcy; Chen, Tyro....(Noncoding RNA)",2021.06.08
a9788922,"Possibility of HIV-1 protease inhibitors-clinical trial drugs as repurposed drugs for SARS-CoV-2 main protease: a molecular docking, molecular dynamics and binding free energy simulation study","The glide energy of TMB607-SARS-CoV-2 M pro and TMC310911-SARS-CoV-2 M pro complexes obtained from the molecular docking simulation is Ã€10.3 and Ã€7.1 kcal/mol, respectively.",a9788922,"Ancy, Iruthayaraj; Sivana....(Journal of biomolecular structure & dynamics)",2020.07.06
a1799970,Immuno-informatics Characterization SARS-CoV-2 Spike Glycoprotein for Prioritization of Epitope based Multivalent Peptide Vaccine,Molecular docking simulation studies demonstrated 64 residues from the TLR3 receptor that are in direct contact with the MEPVC but per residue decomposition,a1799970,,2020.04.12
a1800130,ACE2 fragment as a decoy for novel SARS-Cov-2 virus,"By performing comparative structural analyses , molecular docking , and molecular dynamics simulations we identified the key residues that are involved in the binding between the viral S - protein and",a1800130,,2020.04.10
a1155758,Lectin-like Intestinal Defensin Inhibits 2019-nCoV Spike binding to ACE2,"For deeper insights into the ACE2 blocking of HD5 , we carried out a molecular dynamic simulation , in which HD5 was docked onto the LBD of ACE2 .",a1155758,,2020.03.31
a1927266,The Essential Facts of Wuhan Novel Coronavirus Outbreak in China and Epitope-based Vaccine Designing against COVID-19,The results of molecular dynamics simulation of CV-1-TLR-8 docked complex is illustrated in Figure 10 .,a1927266,,2020.02.11
a1733797,Characterizing Eckol as a Therapeutic Aid: A Systematic Review,"In a similar study of tyrosinase inhibition , eckol derived from E. cava was evaluated on melanogenesis and its binding capacity using a molecular docking simulation .",a1733797,"Manandhar, Bandana; Paude....(Mar Drugs)",2019.06.18
a178671,Mechanistic insights into Zika virus NS3 helicase inhibition by Epigallocatechin-3-gallate: Supplementary Files,"Therefore , in this article , we have used molecular docking and simulation approach to find out a significant binding cavity for EGCG .",a178671,,2019.01.26
a1209598,Structural basis of development of multi-epitope vaccine against Middle East respiratory syndrome using in silico approach,These include CTL epitopes : 47 Molecular interaction analysis of the selected epitopes with hla allele Molecular docking and MD simulation study of the selected epitopes with hla alleles Molecular do,a1209598,"Srivastava, Sukrit; Kamth....(Infect Drug Resist)",2018.11.21
a1269065,Exploring the Binding Mechanism between Human Profilin (PFN1) and Polyproline-10 through Binding Mode Screening,"The second is to examine MD simulations , steered molecular dynamics ( SMD ) simulations , and free energy calculations in comparison with the protein docking score ( from GRAMM - X ) in order to impr",a1269065,,2018.09.16
a3974386,Redox process is crucial for inhibitory properties of aurintricarboxylic acid against activity of YopH: virulence factor of Yersinia pestis,Top scoring poses from docking that interacted with Cys403 were retained for molecular dynamics simulations using amber12 .,a3974386,"Kuban-Jankowska, Alicja; ....(Oncotarget)",2015.07.22
a6625933,Screening S protein â€“ ACE2 blockers from natural products: Strategies and advances in the discovery of potential inhibitors of COVID-19,"In silico Binds to ACE2 and M Pro Molecular docking, Network pharmacology [62] Quercetin (1) Flavonoids Forsythia suspensa (Thunb.)",a6625933,"Ma, Le-le; Liu, Hui-min; ....(Eur J Med Chem)",2021.12.15
a13368226,"Isolation of phytochemicals from Malva neglecta Wallr and their quantum chemical, molecular docking exploration as active drugs against COVID-19","In addition, Autodock version 4.2 was used for molecular docking via MGL tools, by removing H 2 O while adding polar hydrogen atoms (details can be found in supporting information).",a13368226,"Irfan, Ahmad; Imran, Muha....(Journal of Saudi Chemical Society)",2021.10.13
a5550373,Targeting the ENV spike protein of HIV with naturally occurring compounds: an in-silico study for drug designing,"The ultimate aim of this study will be focused on developing a drug molecule from the naturally occurring bioactive compounds using computational tools, primarily consisting of molecular docking and A",a5550373,"Sreeram, S.; Sathishkumar....(ADV TRADIT MED (ADTM))",2021.10.12
a4986173,Inhibition Potencies of Phytochemicals Derived from Sesame Against SARS-CoV-2 Main Protease: A Molecular Docking and Simulation Study,CoV-2 M pro using the molecular docking approach.,a4986173,"Kumar, Anuj; Mishra, Dwij....(Front Chem)",2021.10.08
a5841397,Chitosan derivatives: A suggestive evaluation for novel inhibitor discovery against wild type and variants of SARS-CoV-2 virus,"Moreover, these molecules were docked at lower molecular weight, than their proposed activity range ( greater than 3 kDa).",a5841397,"Modak, Chandrima; Jha, An....(Int J Biol Macromol)",2021.09.30
a10207934,SeamDock: An Interactive and Collaborative Online Docking Resource to Assist Small Compound Molecular Docking,"The SeamDock web server intends to provide a free and accessible molecular docking tool, in particular for teaching.",a10207934,"Murail, Samuel; de Vries,....(Front Mol Biosci)",2021.09.17
a12073159,Molecular Dynamics Simulations Identify Tractable Lead-like Phenyl-Piperazine Scaffolds as eIF4A1 ATP-competitive Inhibitors,Additional docking and molecular dynamics analyses were carried out in the 5ZC9 human eIF4A1 model with RNA to develop binding hypotheses and optimization strategies for the most potent hits.,a12073159,"Essegian, Derek J.; Cunni....(ACS Omega)",2021.09.15
a12397069,Rapid Identification of Potential Drug Candidates from Multi-Million Compoundsâ€™ Repositories. Combination of 2D Similarity Search with 3D Ligand/Structure Based Methods and In Vitro Screening,"In another attempt a consensus approach included combining similarity searching with various queries and fingerprints, molecular docking with two docking protocols, and ADMETox profiling.",a12397069,"SzilÃ¡gyi, Katalin; Flach....(Molecules)",2021.09.15
a11617890,Computational strategies towards developing novel SARS-CoV-2 M(pro) inhibitors against COVID-19,We attempt to select the most suitable one from the following docking protocols to evaluate the binding mode between protein and ligand: (1) Surflex-Dock: Surflex-Dock is a Protomol-based method with,a11617890,"Luo, Ding; Tong, Jian-Bo;....(J Mol Struct)",2021.08.28
a9837947,Investigation of major amino acid residues of anti-norfloxacin monoclonal antibodies responsible for binding with fluoroquinolones,"Molecular docking of the target FQs and the mAbs was done by placing the ligand into the active site of the mAbs using AutoDock Vina, which uses a global optimizer to produce docking results for ligan",a9837947,"Boonserm, Patamalai; Puth....(Sci Rep)",2021.08.25
