RandR_ID,"Article_title, link to abstract, related articles pubmed, etc.",Sentence (search term in bold),Graphic user interface,Lead author and journal,Publication date ASC
a11668103,"The effect of green energy, global environmental indexes, and stock markets in predicting oil price crashes: Evidence from explainable machine learning","However, the SHAP value method used in this study, combined with the accurate machine learning models, may be used by more experts in making certain real-world decisions (Chakraborty et al., 2020) .",a11668103,"Ben Jabeur, Sami; Khalfao....(J Environ Manage)",2021.11.15
a11839154,Future directions for chatbot research: an interdisciplinary research agenda,"On the other hand, abstractions can also hide underlying information about machine learning models, AI decision-making, as well as latent bias in the training data (e.g., [101] ) that can translate in",a11839154,"FÃ¸lstad, AsbjÃ¸rn; Arauj....(Computing)",2021.10.19
a12128095,HumBugDB: A Large-scale Acoustic Mosquito Dataset,"Finally, HumBugDB will be of interest to machine learning researchers working with acoustic data, both in the challenges posed by real-world acoustic data, as well as in the way that we use Bayesian n",a12128095,,2021.10.14
a10216609,Towards teaching analytics: a contextual model for analysis of studentsâ€™ evaluation of teaching through text mining and machine learning classification,"Apparently, the most adopted technologies include the educational data mining (BogarÃ­n et al., 2018; Romero & Ventura, 2013 , machine learning (Abu Alfeilat et al., 2019; Abu Zohair, 2019; Dey et al.",a10216609,"Okoye, Kingsley; Arrona-P....(Educ Inf Technol (Dordr))",2021.10.11
a11033480,CASPR: A Commonsense Reasoning-based Conversational Socialbot,These abilities are best realized through the use of machine learning technologies.,a11033480,,2021.10.11
a11469498,Language function following preterm birth: prediction using machine learning,Wrapper methods take a particular machine learning method into account in order to choose the best subset of the original features.,a11469498,"Valavani, Evdoxia; Blesa,....(Pediatr Res)",2021.10.11
a12100702,Transfer learning for non-image data in clinical research: a scoping review,"Additionally, vocal biomarkers processed with machine learning algorithms are getting more and more attention in a research setting, and are expected to aid diagnosis and monitoring of diseases in the",a12100702,,2021.10.03
a10598286,Biotechnology data analysis training with Jupyter Notebooks,"In parallel, data science provides new tools to facilitate data analysis in the form of accessible machine learning tools, for example, via the Python SciKit learn library (5) and data analysis enviro",a10598286,"Liebal, Ulf W.; Schimasse....(bioRxiv)",2021.09.30
a10655628,Effectiveness of sexual health influencers identified by an ensemble machine learning model in promoting secondary distribution of HIV self-testing among men who have sex with men in China: study protocol for a quasi-experimental trial,"Nevertheless, there are a few limitations regarding ensemble machine-learning modeling and interventions that should be acknowledged.",a10655628,"Lu, Ying; Ni, Yuxin; Wang....(BMC Public Health)",2021.09.28
a13217887,Predicting gene regulatory networks from multi-omics to link genetic risk variants and neuroimmunology to Alzheimerâ€™s disease phenotypes,"In addition to differentially expression analysis which aims to find individual associated genes, 365 we also performed machine learning analysis for the genes from our AD-Covid regulatory 366",a13217887,"Khullar, Saniya; Wang, Da....(bioRxiv)",2021.09.20
a11626338,Analyzing the Impact of Demographic Variables on Spreading and Forecasting COVID-19,"However, during our research, we encountered several limitations such as availability of required dataset, implementation of some other more accurate machine learning algorithms such as logistic regre",a11626338,"Sharif, Omar; Islam, Md R....(J Healthc Inform Res)",2021.09.16
a11579070,Hetero-SCAN: Towards Social Context Aware Fake News Detection via Heterogeneous Graph Neural Network,"As shown in Table 4 , the trained MLP gives relatively better results than other machine learning algorithms in terms of F1 score and accuracy, because MLP is optimized by classification objective (cr",a11579070,,2021.09.13
a12692972,Towards Robust Cross-domain Image Understanding with Unsupervised Noise Removal,Learning From Noisy Data is an active research area in machine learning.,a12692972,,2021.09.09
a10658300,Event-Driven Deep Learning for Edge Intelligence (EDL-EI) â€,The information acquired would be used for machine learning.,a10658300,"Shah, Sayed Khushal; Tari....(Sensors (Basel))",2021.09.08
a11817086,The Symphony of Team Flow in Virtual Teams. Using Artificial Intelligence for Its Recognition and Promotion,"Accordingly, physiological correlates of attention, mental effort, and self-referential thoughts are candidates for machine learning indicators of absorption.",a11817086,"Peifer, Corinna; Pollak, ....(Front Psychol)",2021.09.08
a10415773,Automatic non-invasive Cough Detection based on Accelerometer and Audio Signals,We have trained and evaluated six machine learning classifiers on both audio and accelerometer signal.,a10415773,,2021.08.31
a10431670,WarpDrive: Extremely Fast End-to-End Deep Multi-Agent Reinforcement Learning on a GPU,"Being modular, we hope to extend WarpDrive and integrate other tools for building machine learning workflows on GPUs and other accelerators.",a10431670,,2021.08.31
a11075813,"AI, big data, and the future of consent","But as long as we are required to use real world data (whether this is for machine learning training or for actual use), these problems will persist.",a11075813,"Andreotta, Adam J.; Kirkh....(AI Soc)",2021.08.30
a11302211,Combining chest X-rays and EHR data using machine learning to diagnose acute respiratory failure,Combining chest X-rays and EHR data using machine learning to diagnose acute respiratory failure Methodsâ€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦,a11302211,,2021.08.27
a11674330,Classifying Residues in Mechanically Stable and Unstable Substructures Based on a Protein Sequence: The Case Study of the DnaK Hsp70 Chaperone,"We were not able to develop an accurate machine learning model employing one-hot encoding, which indicates that the physico-chemical information encoded in amino acids is crucial.",a11674330,"Gala, Michal; Å½oldÃ¡k, G....(Nanomaterials (Basel))",2021.08.26
a10409328,Detecting sarcasm in multi-domain datasets using convolutional neural networks and long short term memory network model,"Results indicate that the RF, ETC achieves the highest accuracy among the machine learning classifiers with an accuracy of 0.85 each while the proposed CNN-LSTM model correctly predicts 92% of the sar",a10409328,"Jamil, Ramish; Ashraf, Im....(PeerJ Comput Sci)",2021.08.25
a11691209,Estimating COVID-19 R t in Real-time: An Indonesia health policy perspective,The current COVID-19 dynamic spread rate has caused challenges to predict accurately using machine learning models.,a11691209,"Sreeramula, Sankaraiah; R....(Machine Learning with Applications)",2021.08.20
a10448727,Machine Learning Prediction of Death in Critically Ill Patients With Coronavirus Disease 2019,"In conclusion, we found that age, serum creatinine, lactate, and number of ICU beds were the most important predictors of 28-day mortality in ICU patients with COVID-19, and XGBoost was the most accur",a10448727,"Churpek, Matthew M.; Gupt....(Crit Care Explor)",2021.08.19
a11089017,"Fear in a Handful of Dust: The Epidemiological, Environmental, and Economic Drivers of Death by PM(2.5) Pollution",Let M represent the corresponding 23 Ã— 6 matrix of actual feature importances for the supervised machine learning models.,a11089017,"Chen, James Ming; Zovko, ....(Int J Environ Res Public Health)",2021.08.17
a12873855,Covid-19 sentiments in smart cities: The role of technology anxiety before and during the pandemic,"Moreover, the technique employed (and actual data mining and machine learning techniques) can ensure a great level of accuracy to predict characteristics based on online data (Gouda & Hasan, 2019) .",a12873855,"Troisi, Orlando; Fenza, G....(Comput Human Behav)",2021.08.17
a12809608,Enabling High-Accuracy Human Activity Recognition with Fine-Grained Indoor Localization,â€¢ Extending the system to include more activities is easily automated by retraining the machine learning model.,a12809608,,2021.08.15
a10583654,Sentiment Analysis of Arabic Tweets Regarding Distance Learning in Saudi Arabia during the COVID-19 Pandemic,"In the discussion of these relevant studies, the focus is on the number of tweets analysed, the number of categories used to classify tweets, the machine learning algorithm applied, and the level of a",a10583654,"Aljabri, Malak; Chrouf, S....(Sensors (Basel))",2021.08.11
a11702623,PERSONALIZED STRATIFICATION OF HOSPITALIZATION RISK AMIDST COVID-19: A MACHINE LEARNING APPROACH,"While this may represent an achievement in the algorithm's ability to find non-obvious correlations between multitudes of features, the same ability can lead machine learning algorithms to overfit.",a11702623,"Lam, Carson; Calvert, Jac....(Health Policy Technol)",2021.08.04
