RandR_ID,"Article_title, link to abstract, related articles pubmed, etc.",Sentence (search term in bold),Graphic user interface,Lead author and journal,Publication date ASC
a10404433,Modeling Employee Flexible Work Scheduling As A Classification Problem,Deep learning would do a great job in terms of accuracy if our sample was larger.,a10404433,"Kiwanuka, Fred N.; Karads....(Procedia Computer Science)",2021.12.31
a11121390,CXR-Net: An Encoder-Decoder-Encoder Multitask Deep Neural Network for Explainable and Accurate Diagnosis of COVID-19 pneumonia with Chest X-ray Images,"In [18] , Saeedizadeh et al. proposed a deep learning framework for organ and abnormal area segmentation.",a11121390,,2021.10.20
a10465729,Fine-Tuning Convolutional Neural Networks for COVID-19 Detection from Chest X-ray Images,CNN is considered to be one of the most effective deep learning methods for accurately analyzing medical images.,a10465729,"Zhao, Wentao; Jiang, Wei;....(Diagnostics (Basel))",2021.10.13
a11084482,ECNet is an evolutionary context-integrated deep learning framework for protein engineering,"While it is not a completely new test case that has not been engineered in previous papers, we think beta-lactamase is a good proof-of-concept to demonstrate the utility of our deep learning model in",a11084482,"Luo, Yunan; Jiang, Guangd....(Nat Commun)",2021.09.30
a11381788,The role of data-driven artificial intelligence on COVID-19 disease management in public sphere: a review,The captured signals are used to run the deep learning model to take remedial actions accordingly.,a11381788,"Pillai, Sini V.; Kumar, R....(Decision)",2021.09.30
a10399125,The potential and challenges of Health 4.0 to face COVID-19 pandemic: a rapid review,[80] 98.78% ACC X-ray Deep transfer learning [88] 98% RE Â± 3 90% SP EfficientNet family of models [82] 93.9% ACC 96.8% RE Faster R-CNN [83] 97.36% ACC 97.65% RE 99.28% PRE Inception V3 [16] greater,a10399125,"Loeza-MejÃ­a, Cecilia-Ire....(Health Technol (Berl))",2021.09.28
a12279388,Predicting medication adherence using ensemble learning and deep learning models with large scale healthcare data,Deep learning for adherence prediction.,a12279388,"Gu, Yingqi; Zalkikar, Aks....(Sci Rep)",2021.09.23
a13242346,"Overview of the CLEF--2021 CheckThat! Lab on Detecting Check-Worthy Claims, Previously Fact-Checked Claims, and Fake News","Team Sigmoid [76] (3A:17) experimented with different traditional machine learning approaches, with multinomial NaÃ¯ve Bayes performing best, and one deep learning approach, namely an LSTM with the Ad",a13242346,,2021.09.23
a11582109,Impact of COVID-19 on city-scale transportation and safety: An early experience from Detroit,"Additionally, we have trained an accuracy deep learning model, which shows the effectiveness of predicting COVID-19 confirmed cases for the next week, i.e., 7 days, with R 2 up to approximately 0.91.",a11582109,"Yao, Yongtao; Geara, Tony....(Smart Health (Amst))",2021.09.14
a11661518,F3S: Free Flow Fever Screening,"We have presented a rapid, contact-less and hygienic fever screening system that runs at the edge and uses deep learning techniques for accurate temperature measurement.",a11661518,,2021.09.03
a11560710,Weather and population based forecasting of novel COVID-19 using deep learning approaches,"The parameters for the deep learning algorithms for high level of accuracy are configured as: learning rate is set to 0.0005, number of hidden layers is 8, epoch is set to 500, timestep is 5.",a11560710,"Ronald Doni, A.; Sasi Pra....(Int J Syst Assur Eng Manag)",2021.08.27
a11762499,A Comparison of Deep Learning Techniques for Arterial Blood Pressure Prediction,"Since PPG and ECG can easily be integrated into wearable devices [15âˆ’17] , they can provide the inputs of deep learning approaches for ABP estimation, as already investigated in previous works [18,",a11762499,"Paviglianiti, Annunziata;....(Cognit Comput)",2021.08.27
a11672716,Data Analytics in Industry 4.0: A Survey,"On the contrary, facial identification and speech recognition favor more accurate deep learning methods whose models cannot be interpreted by humans.",a11672716,"Duan, Lian; Da Xu, Li....(Inf Syst Front)",2021.08.24
a13379744,IsoExplorer: an isosurface-driven framework for 3D shape analysis of biomedical volume data,"In addition, deep learning can be used for visual analysis between multiple volumes.",a13379744,"Dai, Haoran; Tao, Yubo; H....(J Vis (Tokyo))",2021.08.19
a13223897,Deep Convolutional Neural Networks With Ensemble Learning and Generative Adversarial Networks for Alzheimerâ€™s Disease Image Data Classification,"In this review, we discuss recent exciting advances in the deep learning analysis of neuroimaging for AD patient diagnostics.",a13223897,"Logan, Robert; Williams, ....(Front Aging Neurosci)",2021.08.17
a12384740,Dynamic Gesture Recognition Algorithm Based on 3D Convolutional Neural Network,"By training and debugging the feature extraction network, more critical and representative spatiotemporal features can be extracted by deep learning for video classification and action recognition [28",a12384740,"Liu, Yuting; Jiang, Du; D....(Comput Intell Neurosci)",2021.08.16
a10485840,"Applications of Haptic Technology, Virtual Reality, and Artificial Intelligence in Medical Training During the COVID-19 Pandemic",The introduction of new hardware capable of running deep learning methods with acceptable performance led artificial intelligence to play a more significant role in any intelligent system Han (2017) .,a10485840,"Motaharifar, Mohammad; No....(Front Robot AI)",2021.08.12
a10876987,Ensemble of Deep Learning Models for Sleep Apnea Detection: An Experimental Study,"Additionally, we have chosen the three deep learning models -(i)",a10876987,"Mukherjee, Debadyuti; Dha....(Sensors (Basel))",2021.08.11
a11555444,Machine Learning in Drug Discovery: A Review,The further goal is to predict the 3D-protein structure by utilizing deep learning techniques for improving the accuracy.,a11555444,"Dara, Suresh; Dhamercherl....(Artif Intell Rev)",2021.08.11
a10953918,KÃ¼nstliche Intelligenz in der Hals-Nasen-Ohren-Heilkunde,"Dennoch wird konventionelles ML, welches in Abgrenzung zum Deep Learning manchmal als",a10953918,"Haider, Stefan P.; Sharaf....(HNO)",2021.08.10
a13550163,Deep learning detects cardiotoxicity in a high-content screen with induced pluripotent stem cell-derived cardiomyocytes,"With these seven compounds, we performed a secondary round of validation using deep learning and additional orthogonal assays.",a13550163,,2021.08.02
