a13893897,"Synthesis, Computational Pharmacokinetics Report, Conceptual DFT-Based Calculations and Anti-Acetylcholinesterase Activity of Hydroxyapatite Nanoparticles Derived From Acorus Calamus Plant Extract",Additional information about the Pharmacokinetics parameters and the ADMET properties were obtained by resorting to pkCSM Pires et al.,a13893897,"Pradeep, Sushma; Jain, An....(Front Chem)",2021.10.07
a10888237,"Non-competitive interactions between hydroxychloroquine and azithromycin: systematic density functional, molecular dynamics, and docking calculations","It remains necessary to study the effect of the interaction between the two drugs on their therapeutic properties, especially against the SARS-CoV-2.This study will also contribute to the renowned and",a10888237,"Khalafalla, Mohammed; Had....(Chem Phys Lett)",2021.05.18
a2155618,Characterization and bioactivity of self-assembled anti-angiogenic chondroitin sulfate-ES2-AF nanoparticle conjugate,Pharmacokinetics study,a2155618,"Xing, Liang; Sun, Feng; W....(Int J Nanomedicine)",2019.04.10
a10831588,"45th ESCP-NSF international symposium on clinical pharmacy: clinical pharmacy tackling inequalities and access to health care. Oslo, Norway, 5â€“7 October 2016",Dosage adjustment was realized by the program Abbot Pharmacokinetics System (PKS).,a10831588,,2017.01.10
0,0,0,0,0,0
a6757887,"In search of SARS CoV-2 replication inhibitors: Virtual screening, molecular dynamics simulations and ADMET analysis","The ADMET properties like water solubility, molar refractivity, topological polar surface area, CaCO2 cell permeability, intestinal absorption, volume of distribution, fraction unbound, total renal cl",a6757887,"Nagar, Prinsa R.; Gajjar,....(J Mol Struct)",2021.12.15
a11210880,Computational determination of toxicity risks associated with a selection of approved drugs having demonstrated activity against COVID-19,[11] or SVMs (Support Vector Machines) [12] to QSAR/QSPR modeling [13] can be used to calculate ADMET properties.,a11210880,"Aminpour, Maral; Delgado,....(BMC Pharmacol Toxicol)",2021.10.21
a6759422,Open Science Discovery of Oral Non-Covalent SARS-CoV-2 Main Protease Inhibitor Therapeutics,"Particularly promising compounds have been sent through a further ADMET assay cascade, and sufficiently suitable compounds have been assessed in cellular antiviral screening assays performed by collab",a6759422,"Achdout, Hagit; Aimon, An....(bioRxiv)",2021.10.18
a5551141,Promising Antiviral Activities of Natural Flavonoids against SARS-CoV-2 Targets: Systematic Review,highlighted that rutin could serve as a dual receptor inhibitor against the Mpro and spike glycoprotein of SARS-CoV-2 with improved ADMET parameters.,a5551141,"Kaul, Ridhima; Paul, Prad....(Int J Mol Sci)",2021.10.14
a6758149,In Silico Identification and Validation of Organic Triazole Based Ligands as Potential Inhibitory Drug Compounds of SARS-CoV-2 Main Protease,"Pharmacokinetic parameters related to the absorption, distribution, metabolism, excretion, and toxicity (ADMET) play a substantial role in the detection of novel drug candidates.",a6758149,"Sur, Vishma Pratap; Sen, ....(Molecules)",2021.10.14
a6758151,Targeting the ENV spike protein of HIV with naturally occurring compounds: an in-silico study for drug designing,"An account of druggability is very essential while performing a docking study, the ligands were checked for Absorption, distribution, metabolism, excretion and toxicity (ADMET) test.",a6758151,"Sreeram, S.; Sathishkumar....(ADV TRADIT MED (ADTM))",2021.10.12
a5551613,The Repurposed ACE2 Inhibitors: SARS-CoV-2 Entry Blockers of Covid-19,"Based on the molecular docking method and in silico ADMET prediction, they concluded that bis-demethoxycurcumin was a suitable candidate for SARS-CoV-2 RBD: ACE2 inhibition (Fig. 30) .",a5551613,"Ahmad, Iqrar; Pawara, Rah....(Top Curr Chem (Cham))",2021.10.08
a6758056,"Synthesis, Computational Pharmacokinetics Report, Conceptual DFT-Based Calculations and Anti-Acetylcholinesterase Activity of Hydroxyapatite Nanoparticles Derived From Acorus Calamus Plant Extract","With the additional goal of analyzing their bioactivities, the predicted biological targets and the ADMET parameters related to the bioavailability and computational pharmacokinetics of the five ligan",a6758056,"Pradeep, Sushma; Jain, An....(Front Chem)",2021.10.07
a6758147,Anti-Hepatocellular Carcinoma Biomolecules: Molecular Targets Insights,"For a better efficiency, the Absorption Distribution Metabolism Excretion Toxicity (ADMET) properties of the drug were improved by ADMET tools.",a6758147,"Juaid, Nouf; Amin, Amr; A....(Int J Mol Sci)",2021.10.06
a6758051,Novel Molecules derived from 3-O-(6-galloylglucoside) inhibit Main Protease of SARS-CoV 2 In Silico,"In our current in silico work, we assessed the ADMET-linked parameters of three best hit molecules (C33, C35 and C54), 3-O-(6-galloylglucoside) and remdesivir computationally using the ADMETSAR server",a6758051,"Umar, Haruna Isiyaku; Aja....(Chem Zvesti)",2021.10.05
a10165791,"Repurposing the antibacterial drugs for inhibition of SARS-CoV2-PLpro using molecular docking, MD simulation and binding energy calculation","Furthermore, ADMET (Absorption-Distribution-Metabolism-Excretion-Toxicity) analysis of control and all the proposed compound was performed.",a10165791,"Patel, Rohit; Prajapati, ....(Mol Divers)",2021.09.30
